gene,cluster,avg_log2FC
AT3G50970,1,1.96367050542737
AT1G15520,1,1.95109024580236
AT2G32150,1,1.92973153960007
AT2G29440,1,1.91806239238587
AT3G16240,1,1.85905586777842
AT4G01070,1,1.85619156828176
AT5G06300,1,1.83706989246762
AT3G06500,1,1.82557149564168
AT4G36990,1,1.82086120896989
AT2G29450,1,1.81888824763904
AT5G40450,1,1.81471502505626
AT2G25450,1,1.79617761348252
AT1G20440,1,1.77267735413167
AT2G32190,1,1.76112379070793
AT1G55330,1,1.75363034190558
AT5G49450,1,1.74945453065754
AT2G31570,1,1.74219302348781
AT1G62660,1,1.72040952362509
AT4G04610,1,1.71722603763365
AT5G61820,1,1.70968614435786
AT2G22470,1,1.69983755313689
AT5G65207,1,1.69649126320776
AT1G70780,1,1.69283160965282
AT1G79245,1,1.64643267078695
AT4G39090,1,1.62462294487217
AT5G11740,1,1.59987294421234
AT2G20630,1,1.57776937832917
AT4G02380,1,1.57235014958122
AT4G22590,1,1.55983852037034
AT2G32240,1,1.51819323400838
AT3G04730,1,1.49747350277087
AT2G36830,1,1.47765462059177
AT3G06420,1,1.44286834103152
AT5G54940,1,1.3834180750715
AT1G56660,1,1.38338158283883
AT3G56240,1,1.34232920236486
AT4G05320,1,1.32398904659433
AT5G03240,1,1.29465457469513
AT1G09070,1,1.28245532753666
AT4G26080,1,1.62753626466467
AT4G20260,1,1.20043138677389
AT2G23120,1,1.30907087386625
AT2G43150,1,1.51523414424798
AT1G54410,1,1.06699222617319
AT3G13520,1,1.50141421329971
AT2G02130,2,3.83246440904669
AT1G75750,2,3.25663817182458
AT1G12080,2,3.21983990371736
AT4G14130,2,3.19568433085695
AT2G36120,2,3.17369435891253
AT1G62480,2,3.14670019642817
AT2G43910,2,2.72182659621652
AT4G25810,2,2.62283984167883
AT4G26320,2,2.28936558335932
AT1G20823,2,2.24193088041625
AT3G53420,2,2.21604050063719
AT1G48600,2,1.82712600457665
AT1G32100,2,1.67356173996325
AT2G37040,2,2.08170376929379
AT3G16340,2,1.89344476472552
AT2G37170,2,1.95492461608445
AT3G14310,2,1.8974133957779
AT1G20440,2,1.72505786560451
AT3G14990,2,2.05633308567714
AT4G34050,2,1.88499834798065
AT4G22212,2,2.15264014703388
AT5G56540,2,1.59675032429678
AT1G01620,2,1.60366106905238
AT4G31800,2,1.89272509608977
AT2G30860,2,1.79177785715141
AT2G40890,2,1.74453316238092
AT5G25890,2,1.69818069254781
AT3G19450,2,1.55812484128925
AT1G72150,2,1.70702101220852
AT2G36830,2,1.22648769835173
AT5G57110,2,1.59365205018131
AT2G44790,2,1.3782515817323
AT2G30490,2,1.70561115591567
AT2G45820,2,1.54733046890101
AT1G07135,2,1.4929842620972
AT5G57560,2,1.58929919344741
AT4G09030,2,1.45535667883169
AT3G25780,2,1.65114634157367
AT5G53250,2,1.68320463781971
AT1G18270,2,1.48956349768587
AT2G30870,2,1.27773526467858
AT3G23030,2,1.24625171691303
AT4G11280,2,1.54458937457885
AT4G36990,2,1.18800146502695
AT1G55330,2,1.15061043919077
AT1G76180,2,0.86556206827128
AT3G10985,2,1.24801366640035
AT3G13520,2,1.0262967267524
AT5G11670,2,1.39542683378826
AT4G02380,2,1.116957207597
AT1G80840,2,1.30663146379394
AT2G29440,2,1.15509174263383
AT5G59490,2,1.25308871904786
AT5G12140,2,1.35333012710576
AT1G01470,2,1.33738859263814
ATCG01130,2,1.23328691995133
AT2G41100,2,1.34947307146105
AT4G23100,2,1.30592687701113
AT2G40140,2,1.28007163255656
AT3G57450,2,1.31901388296095
AT5G51890,3,4.43684643421962
AT4G35350,3,3.89362040399106
AT5G60020,3,3.67949075973171
AT5G03260,3,3.64346091651141
AT3G16920,3,3.50404053630791
AT1G02335,3,3.39348512581185
AT4G18780,3,3.30513984683857
AT1G63120,3,3.27478577806777
AT2G38080,3,3.27072490093245
AT1G75280,3,3.27044815128175
AT3G27200,3,3.09361269210389
AT2G27740,3,3.0819096062943
AT4G27435,3,2.822560877926
AT1G24030,3,2.60081912982361
AT5G15630,3,2.34964734848404
AT1G20850,3,4.29531972275671
AT5G44030,3,3.51996486870272
AT1G32100,3,3.3914628003461
AT2G28315,3,2.88149173695351
AT1G19300,3,2.7675523164936
AT5G16490,3,2.66001708469614
AT5G54690,3,2.54246685796514
AT5G60720,3,2.51507408332679
AT3G62020,3,3.14371857143608
AT2G34790,3,2.90045614415052
AT3G54040,3,2.54653229428507
AT5G04200,3,2.68538006281105
AT3G56240,3,3.49938046014312
AT1G71930,3,4.41807753617778
AT2G37090,3,2.65549422637671
AT1G12780,3,2.74872971527186
AT3G55990,3,2.64528691238035
AT5G17420,3,2.76309111734731
AT5G42710,3,2.30713473262567
AT4G12910,3,2.72472671485119
AT5G15490,3,3.0659106640479
AT1G06090,3,2.50546527427497
AT5G59290,3,3.0177952873193
AT2G38320,3,1.99089516153811
AT3G53620,3,2.86720016853815
AT1G26820,3,1.97405307107442
AT4G09990,3,2.51143183612546
AT2G28760,3,2.99643928964212
AT5G56540,3,2.816355008029
AT3G45010,3,2.4396827139818
AT3G53350,3,2.06358285703971
AT2G17710,3,2.18369294223847
AT1G08340,3,2.12330835783227
AT2G47500,3,2.34787015398845
AT1G30900,3,1.94196686518054
AT3G56170,3,2.02148568201815
AthLNC019942,3,2.05920063573542
AT2G16720,3,2.06375682020216
AT1G62990,3,1.90651649265683
AthLNC014657,3,2.54921703177755
AT3G27960,3,1.82755331944936
AT5G07220,3,2.00303303554389
AT3G13520,3,2.12345212837123
AthLNC005729,3,2.27689702929311
AT1G63300,3,1.68050206634262
AT1G05260,4,4.44080679706255
AT3G22600,4,4.38925355151059
