"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,3.80604714046047,0.906,0.518,0,0,"Solyc07g009290"
"2",0,3.59878466753278,0.774,0.281,0,0,"Solyc04g005720"
"3",0,3.45729364937089,0.953,0.52,0,0,"Solyc01g080010"
"4",0,3.40101249540791,0.822,0.239,0,0,"Solyc09g074850"
"5",0,3.33728069780668,0.804,0.252,0,0,"Solyc10g086090"
"6",0,3.24115268922541,0.856,0.35,0,0,"Solyc01g103390"
"7",0,3.17991122435189,0.451,0.104,0,0,"Solyc08g061920"
"8",0,3.13336748385958,0.844,0.333,0,0,"Solyc02g093860"
"9",0,3.10462515630117,0.64,0.283,0,0,"Solyc10g086100"
"10",0,3.08657205623456,0.913,0.461,0,0,"Solyc09g007520"
"11",0,3.03413474721401,0.981,0.791,0,0,"Solyc07g017570"
"12",0,3.00983551776258,0.911,0.475,0,0,"Solyc06g060070"
"13",0,2.94968798624181,0.624,0.087,0,0,"Solyc05g006920"
"14",0,2.88443221716813,0.622,0.183,0,0,"Solyc05g009470"
"15",0,2.85625457913841,0.769,0.318,0,0,"Solyc08g080630"
"16",0,2.73411492757279,0.805,0.236,0,0,"Solyc03g116510"
"17",0,2.70478684427821,0.769,0.412,0,0,"Solyc02g079220"
"18",0,2.68713140848568,0.914,0.691,0,0,"Solyc04g078540"
"19",0,2.68643279609301,0.868,0.495,0,0,"Solyc01g102400"
"20",0,2.6585306352079,0.884,0.558,0,0,"Solyc05g056550"
"21",0,2.643024256652,0.828,0.386,0,0,"Solyc01g079940"
"22",0,2.63366678965261,0.816,0.402,0,0,"Solyc03g112100"
"23",0,2.58939438928065,0.708,0.094,0,0,"Solyc08g074490"
"24",0,2.58300303483541,0.79,0.295,0,0,"Solyc12g045030"
"25",0,2.54184452055706,0.824,0.398,0,0,"Solyc01g150164"
"26",0,2.51821480356741,0.887,0.484,0,0,"Solyc09g011520"
"27",0,2.50601392764886,0.404,0.049,0,0,"Solyc02g076990"
"28",0,2.43210920540097,0.778,0.381,0,0,"Solyc08g076730"
"29",0,2.40707097652519,0.971,0.712,0,0,"Solyc09g011590"
"30",0,2.35666356372522,0.696,0.189,0,0,"Solyc02g014830"
"31",0,2.29376707301467,0.705,0.247,0,0,"Solyc12g056960"
"32",0,2.17967674741538,0.83,0.411,0,0,"Solyc10g083290"
"33",0,2.14353132400847,0.499,0.11,0,0,"Solyc07g053030"
"34",0,2.14061937884453,0.931,0.656,0,0,"Solyc12g057060"
"35",0,2.13214064238339,0.866,0.536,0,0,"Solyc02g069100"
"36",0,2.11297337619872,0.555,0.201,0,0,"Solyc09g090730"
"37",0,2.10947800103544,0.481,0.149,0,0,"Solyc02g070090"
"38",0,2.09760384456534,0.665,0.193,0,0,"Solyc08g080640"
"39",0,2.07911089694413,0.852,0.552,0,0,"Solyc06g009290"
"40",0,2.07331391882835,0.775,0.392,0,0,"Solyc08g044510"
"41",0,2.05650916553491,0.708,0.341,0,0,"Solyc06g069470"
"42",0,2.04900103869915,0.518,0.082,0,0,"Solyc12g045020"
"43",0,2.02619342296887,0.827,0.499,0,0,"Solyc04g015020"
"44",0,1.98618144206398,0.455,0.053,0,0,"Solyc01g109740"
"45",0,1.9267578577337,0.898,0.605,0,0,"Solyc09g097960"
"46",0,1.90849037435127,0.594,0.147,0,0,"Solyc01g079150"
"47",0,1.88858393732537,0.627,0.081,0,0,"Solyc09g047910"
"48",0,1.88840891540064,0.632,0.374,0,0,"Solyc01g150152"
"49",0,1.88434631297084,0.789,0.469,0,0,"Solyc04g080290"
"50",0,1.86870946870648,0.715,0.321,0,0,"Solyc07g040890"
"51",0,1.8647619994921,0.655,0.237,0,0,"Solyc04g078040"
"52",0,1.86109123666566,0.71,0.31,0,0,"Solyc01g101070"
"53",0,1.85770453630745,0.699,0.398,0,0,"Solyc03g113220"
"54",0,1.85266344854878,0.532,0.214,0,0,"Solyc01g079880"
"55",0,1.83881440485975,0.594,0.19,0,0,"Solyc07g043550"
"56",0,1.81618734070827,0.448,0.209,0,0,"Solyc10g008120"
"57",0,1.80490911146713,0.663,0.224,0,0,"Solyc01g110110"
"58",0,1.79678391972076,0.858,0.624,0,0,"Solyc08g082020"
"59",0,1.79420047460759,0.61,0.186,0,0,"Solyc09g082570"
"60",0,1.7883276001375,0.916,0.671,0,0,"Solyc09g011630"
"61",0,1.77297111015023,0.401,0.101,0,0,"Solyc07g043717"
"62",0,1.77153803243708,0.542,0.152,0,0,"Solyc09g090070"
"63",0,1.75896584929202,0.978,0.925,0,0,"Solyc04g054810"
"64",0,1.71280928924124,0.595,0.227,0,0,"Solyc12g008650"
"65",0,1.70540315920213,0.688,0.328,0,0,"Solyc04g010250"
"66",4.21983629175356e-254,1.65484488225395,0.624,0.49,9.15788872036357e-250,0,"Solyc07g063340"
"67",0,1.64951041027934,0.645,0.267,0,0,"Solyc11g062350"
"68",0,1.62166744270329,0.751,0.517,0,0,"Solyc01g009780"
"69",0,1.62031750224387,0.753,0.457,0,0,"Solyc11g010600"
"70",0,1.60565644147756,0.811,0.6,0,0,"Solyc04g051500"
"71",0,1.59879620173236,0.668,0.329,0,0,"Solyc02g072190"
"72",0,1.59202773965631,0.477,0.071,0,0,"Solyc01g100390"
"73",0,1.58346900470545,0.657,0.31,0,0,"Solyc06g009040"
"74",0,1.57648294323369,0.846,0.651,0,0,"Solyc10g078550"
"75",0,1.5760169138093,0.845,0.552,0,0,"Solyc01g074030"
"76",0,1.5723539782417,0.819,0.616,0,0,"Solyc01g102390"
"77",0,1.56396804564564,0.514,0.13,0,0,"Solyc07g062490"
"78",0,1.5620757264763,0.896,0.771,0,0,"Solyc08g006000"
"79",0,1.55687649058875,0.8,0.539,0,0,"Solyc09g075120"
"80",0,1.55426766585293,0.936,0.827,0,0,"Solyc08g077980"
"81",0,1.54294902952482,0.926,0.776,0,0,"Solyc02g081430"
"82",0,1.5358953067977,0.595,0.352,0,0,"Solyc02g031710"
"83",0,1.53531124024332,0.865,0.685,0,0,"Solyc03g097270"
"84",0,1.51466575095901,0.562,0.13,0,0,"Solyc09g009540"
"85",0,1.51385661855601,0.642,0.295,0,0,"Solyc12g010400"
"86",0,1.50158832057729,0.76,0.515,0,0,"Solyc01g095470"
"87",0,1.50080406705704,0.862,0.64,0,0,"Solyc01g107820"
"88",0,1.49595965778688,0.493,0.213,0,0,"Solyc01g103990"
"89",0,1.47338793966876,0.582,0.21,0,0,"Solyc02g092940"
"90",0,1.47171932815734,0.68,0.27,0,0,"Solyc07g043640"
"91",0,1.47064776241665,0.533,0.168,0,0,"Solyc02g069690"
"92",0,1.46979874606822,0.418,0.056,0,0,"Solyc01g107080"
"93",0,1.45806342796889,0.797,0.633,0,0,"Solyc08g082280"
"94",0,1.45465163268753,0.677,0.368,0,0,"Solyc03g113070"
"95",0,1.43742689107443,0.45,0.112,0,0,"Solyc11g007825"
"96",0,1.43431841720388,0.562,0.286,0,0,"Solyc09g010380"
"97",0,1.42815171597624,0.754,0.421,0,0,"Solyc02g080530"
"98",0,1.41104009263742,0.473,0.108,0,0,"Solyc04g078340"
"99",0,1.41005842651958,0.543,0.193,0,0,"Solyc02g087410"
"100",0,1.39512154773628,0.475,0.233,0,0,"Solyc01g009860"
"101",1.80731951128076e-236,1.39257237438713,0.755,0.701,3.92224480338151e-232,0,"Solyc01g088480"
"102",0,1.38093975328043,0.665,0.384,0,0,"Solyc09g065850"
"103",0,1.38068325234922,0.838,0.711,0,0,"Solyc02g065380"
"104",3.13867825915428e-269,1.36758936689554,0.513,0.307,6.81155955801661e-265,0,"Solyc02g084720"
"105",0,1.36666745915999,0.528,0.218,0,0,"Solyc05g053760"
"106",0,1.3466571408389,0.496,0.195,0,0,"Solyc01g080920"
"107",0,1.34442942894233,0.407,0.102,0,0,"Solyc11g065470"
"108",0,1.33744869754572,0.443,0.074,0,0,"Solyc02g071920"
"109",0,1.32430005200916,0.462,0.117,0,0,"Solyc07g005090"
"110",0,1.32407700727182,0.595,0.326,0,0,"Solyc04g009560"
"111",0,1.31160409219893,0.656,0.43,0,0,"Solyc03g096730"
"112",2.0337300571228e-114,1.30795130210487,0.426,0.322,4.41360096996789e-110,0,"Solyc08g016010"
"113",0,1.30700016998935,0.413,0.053,0,0,"Solyc11g069220"
"114",0,1.30244378093694,0.455,0.118,0,0,"Solyc01g109110"
"115",0,1.30229992697748,0.963,0.911,0,0,"Solyc08g080940"
"116",0,1.29703738484539,0.675,0.368,0,0,"Solyc04g015220"
"117",0,1.29452158997614,0.464,0.109,0,0,"Solyc07g043230"
"118",0,1.29274124423479,0.546,0.261,0,0,"Solyc05g053180"
"119",5.31014468676566e-199,1.28364713411878,0.641,0.513,1.15240759992188e-194,0,"Solyc02g086930"
"120",0,1.28162319459376,0.412,0.138,0,0,"Solyc12g005720"
"121",4.34366557758235e-233,1.27717576921004,0.529,0.364,9.42662303646921e-229,0,"Solyc01g150146"
"122",0,1.27659121988446,0.51,0.21,0,0,"Solyc01g106890"
"123",0,1.2762468238842,0.468,0.088,0,0,"Solyc02g070280"
"124",9.24572861369386e-227,1.27141426328968,0.408,0.217,2.00650802374384e-222,0,"Solyc05g051220"
"125",0,1.26741285850119,0.598,0.334,0,0,"Solyc05g010120"
"126",0,1.24992889404645,0.824,0.734,0,0,"Solyc06g005940"
"127",8.28527164579881e-213,1.24595674669318,0.535,0.354,1.79806965257126e-208,0,"Solyc04g074950"
"128",6.30032992363106e-305,1.2445217611472,0.592,0.405,1.36729760002641e-300,0,"Solyc06g083030"
"129",0,1.24211888356958,0.565,0.242,0,0,"Solyc12g042380"
"130",0,1.24012583918466,0.585,0.305,0,0,"Solyc11g066520"
"131",1.30384421931277e-265,1.23497129254676,0.762,0.659,2.82960272475257e-261,0,"Solyc01g099680"
"132",0,1.23268081238816,0.609,0.338,0,0,"Solyc03g114210"
"133",0,1.23044584799613,0.578,0.346,0,0,"Solyc07g052320"
"134",0,1.22596170698601,0.89,0.774,0,0,"Solyc12g056250"
"135",0,1.21878267698476,0.557,0.261,0,0,"Solyc03g113040"
"136",0,1.21791899563475,0.777,0.574,0,0,"Solyc02g069090"
"137",0,1.21688260801308,0.645,0.37,0,0,"Solyc08g083280"
"138",0,1.21562123791209,0.524,0.238,0,0,"Solyc07g053760"
"139",0,1.21237195445938,0.645,0.401,0,0,"Solyc09g014380"
"140",0,1.20063336577094,0.51,0.207,0,0,"Solyc02g086810"
"141",0,1.19358162538579,0.674,0.476,0,0,"Solyc08g078820"
"142",3.50272961775889e-278,1.17742785048092,0.481,0.264,7.60162381646033e-274,0,"Solyc08g068330"
"143",0,1.15829272148402,0.895,0.796,0,0,"Solyc01g096270"
"144",0,1.14859190000656,0.804,0.663,0,0,"Solyc09g091470"
"145",0,1.14847069413078,0.868,0.724,0,0,"Solyc08g075370"
"146",0,1.14796464227498,0.644,0.432,0,0,"Solyc10g009180"
"147",0,1.1417508316394,0.579,0.331,0,0,"Solyc02g083460"
"148",0,1.1390086657843,0.461,0.163,0,0,"Solyc12g044940"
"149",0,1.13166413758074,0.502,0.155,0,0,"Solyc08g082480"
"150",0,1.13067221047074,0.492,0.192,0,0,"Solyc09g056360"
"151",0,1.12914260495837,0.484,0.217,0,0,"Solyc06g048590"
"152",3.84614142875669e-220,1.12885082895106,0.416,0.212,8.34689612868777e-216,0,"Solyc11g011340"
"153",0,1.1207278659645,0.811,0.626,0,0,"Solyc08g006320"
"154",0,1.11989701505901,0.551,0.264,0,0,"Solyc03g117490"
"155",0,1.11951715831953,0.515,0.207,0,0,"Solyc06g005620"
"156",4.18591232457067e-286,1.11490750412697,0.58,0.393,9.08426692678328e-282,0,"Solyc05g052790"
"157",0,1.11377752689876,0.602,0.393,0,0,"Solyc05g012260"
"158",0,1.10805808021833,0.543,0.223,0,0,"Solyc11g066150"
"159",0,1.1064120941883,0.613,0.359,0,0,"Solyc03g007485"
"160",0,1.10541455380653,0.414,0.111,0,0,"Solyc09g075020"
"161",2.00174409604726e-304,1.10172070224023,0.656,0.405,4.34418503724177e-300,0,"Solyc10g055800"
"162",4.61233229347998e-169,1.08860048235636,0.53,0.397,1.00096835433103e-164,0,"Solyc02g091890"
"163",0,1.08848826621508,0.689,0.459,0,0,"Solyc07g043310"
"164",4.15983004809979e-214,1.08701616322892,0.516,0.365,9.02766317038615e-210,0,"Solyc10g079970"
"165",0,1.0865949853897,0.641,0.404,0,0,"Solyc06g065370"
"166",0,1.08490389478266,0.537,0.281,0,0,"Solyc04g072450"
"167",0,1.08479114439445,0.544,0.267,0,0,"Solyc06g050720"
"168",0,1.08362561655748,0.486,0.237,0,0,"Solyc01g079580"
"169",2.30743431066589e-160,1.08214207791997,0.756,0.707,5.00759394100712e-156,0,"Solyc03g082920"
"170",0,1.08175195472297,0.671,0.497,0,0,"Solyc12g038920"
"171",1.41453144083561e-280,1.07655134238084,0.651,0.426,3.06981613290143e-276,0,"Solyc06g069040"
"172",2.84895546602916e-304,1.07402454037356,0.747,0.626,6.18280315237648e-300,0,"Solyc01g067900"
"173",6.08550035546243e-303,1.06726583996148,0.462,0.224,1.32067528714246e-298,0,"Solyc01g058720"
"174",0,1.06414553971668,0.59,0.404,0,0,"Solyc03g114590"
"175",0,1.04813665440542,0.783,0.552,0,0,"Solyc04g150104"
"176",4.61312859181812e-198,1.04344333065452,0.469,0.315,1.00114116699637e-193,0,"Solyc06g060370"
"177",0,1.0431696620388,0.425,0.096,0,0,"Solyc10g008890"
"178",0,1.04269793515721,0.472,0.211,0,0,"Solyc08g023270"
"179",0,1.04211946207185,0.485,0.182,0,0,"Solyc11g008010"
